LINK_ID,GLOBALDIRECTION
3285002468,1
3285002494,-1
3285002906,-1
3285002915,1
3285002920,1
3285002922,-1
3285004156,-1
3285004163,1
3285004164,1
3285004469,-1
3285002777,1
3285002778,1
3285002810,1
3285002860,1
3285002863,1
3285002911,1
3285002969,1
3285002971,1
3285003094,1
3285003271,1
3285004477,1
3285004478,1
3285006411,-1
3285006412,-1
3285006444,-1
3285006486,-1
3285006489,-1
3285006502,-1
3285006514,-1
3285006515,-1
3285006549,-1
3285006654,-1
3285007273,-1
3285007274,-1
3205850001,1
3205850003,1
3205850004,1
3205850005,1
3205850006,1
3205850008,1
3205850009,1
3205850010,-1
3205850013,-1
3205850014,-1
3205850015,1
3205850016,1
3205850017,-1
3205850018,1
3205850019,1
3205850020,1
3205850021,1
3205850022,-1
3205850023,-1
3205850024,1
3205850025,-1
3205850026,1
3205850027,-1
3205850028,-1
3205850029,1
3205850030,1
3205850031,-1
3205850082,-1
3205850083,-1
3205850085,-1
3205850086,-1
3205850088,-1
3205850090,-1
3205850091,-1
3205850092,-1
3205850011,-1
3205850007,1
3285002993,-1
3285003304,1
3205850000,1
3205850084,-1
